Unnamed: 0,car_name,registration_year,insurance_validity,fuel_type,seats,kms_driven,ownsership,transmission,manufacturing_year,mileage(kmpl),engine(cc),max_power(bhp),torque(Nm),price(in lakhs),car_age,price_per_km
0,2017 Mercedes-Benz S-Class S400,2017,Comprehensive,Petrol,5,56000,First Owner,Automatic,2017,7.81,2996.0,2996.0,333.0,63.75,0,8.162612035851472
1,2020 Nissan Magnite Turbo CVT XV Premium Opt BSVI,2021,Comprehensive,Petrol,5,30615,First Owner,Automatic,2020,17.4,999.0,999.0,9863.0,8.99,1,0.5166666666666667
2,2018 BMW X1 sDrive 20d xLine,2018,Comprehensive,Diesel,5,24000,First Owner,Automatic,2018,20.68,1995.0,1995.0,188.0,23.75,0,1.1484526112185687
3,2019 Kia Seltos GTX Plus,2019,Comprehensive,Petrol,5,18378,First Owner,Manual,2019,16.5,1353.0,1353.0,13808.0,13.56,0,0.8218181818181819
4,2019 Skoda Superb LK 1.8 TSI AT,2019,Comprehensive,Petrol,5,44900,First Owner,Automatic,2019,14.67,1798.0,1798.0,17746.0,24.0,0,1.6359918200408998
5,2017 Honda Jazz 1.2 S i VTEC,2017,Third Party insurance,Petrol,5,42000,First Owner,Manual,2017,18.7,1199.0,1199.0,887.0,5.45,0,0.2914438502673797
6,2018 Hyundai Grand i10 1.2 Kappa Sportz BSIV,2019,Comprehensive,Petrol,5,36739,First Owner,Manual,2018,18.9,1197.0,1197.0,8186.0,5.12,1,0.2708994708994709
7,2018 Hyundai Creta 1.6 SX,2018,Comprehensive,Petrol,5,76000,First Owner,Manual,2018,15.8,1591.0,1591.0,1213.0,9.3,0,0.5886075949367089
8,2015 Mercedes-Benz S-Class S 350 CDI,2015,Comprehensive,Diesel,5,68000,Second Owner,Automatic,2015,13.5,2987.0,2987.0,25479.0,42.0,0,3.111111111111111
9,2019 Tata Nexon 1.2 Revotron XZ Plus,2019,Comprehensive,Petrol,5,28783,First Owner,Manual,2019,17.0,1198.0,1198.0,1085.0,8.02,0,0.4717647058823529
