Unnamed: 0,car_name,registration_year,insurance_validity,fuel_type,seats,kms_driven,ownsership,transmission,manufacturing_year,mileage(kmpl),engine(cc),max_power(bhp),torque(Nm),price(in lakhs),car_age,price_per_km
0,2017 Mercedes-Benz S-Class S400,2017,Comprehensive,Petrol,5,56000,First Owner,Automatic,2017,7.81,2996.0,2996.0,333.0,63.75,9,113.83928571428571
1,2020 Nissan Magnite Turbo CVT XV Premium Opt BSVI,2021,Comprehensive,Petrol,5,30615,First Owner,Automatic,2020,17.4,999.0,999.0,9863.0,8.99,5,29.364690511187327
2,2018 BMW X1 sDrive 20d xLine,2018,Comprehensive,Diesel,5,24000,First Owner,Automatic,2018,20.68,1995.0,1995.0,188.0,23.75,8,98.95833333333333
3,2019 Kia Seltos GTX Plus,2019,Comprehensive,Petrol,5,18378,First Owner,Manual,2019,16.5,1353.0,1353.0,13808.0,13.56,7,73.78387202089455
4,2019 Skoda Superb LK 1.8 TSI AT,2019,Comprehensive,Petrol,5,44900,First Owner,Automatic,2019,14.67,1798.0,1798.0,17746.0,24.0,7,53.4521158129176
5,2017 Honda Jazz 1.2 S i VTEC,2017,Third Party insurance,Petrol,5,42000,First Owner,Manual,2017,18.7,1199.0,1199.0,887.0,5.45,9,12.976190476190476
6,2018 Hyundai Grand i10 1.2 Kappa Sportz BSIV,2019,Comprehensive,Petrol,5,36739,First Owner,Manual,2018,18.9,1197.0,1197.0,8186.0,5.12,7,13.936144151991073
7,2018 Hyundai Creta 1.6 SX,2018,Comprehensive,Petrol,5,76000,First Owner,Manual,2018,15.8,1591.0,1591.0,1213.0,9.3,8,12.23684210526316
8,2015 Mercedes-Benz S-Class S 350 CDI,2015,Comprehensive,Diesel,5,68000,Second Owner,Automatic,2015,13.5,2987.0,2987.0,25479.0,42.0,11,61.76470588235294
9,2019 Tata Nexon 1.2 Revotron XZ Plus,2019,Comprehensive,Petrol,5,28783,First Owner,Manual,2019,17.0,1198.0,1198.0,1085.0,8.02,7,27.863669527151444
10,2020 Honda City VX CVT,2020,Comprehensive,Petrol,5,40000,First Owner,Automatic,2020,17.4,1497.0,1497.0,1176.0,10.95,6,27.375
11,2021 Renault Duster RXS,2022,Comprehensive,Petrol,5,17382,First Owner,Manual,2021,16.42,1498.0,1498.0,10455.0,8.99,4,51.72017029110574
13,2021 Hyundai Venue SX Plus Turbo DCT,2022,Comprehensive,Petrol,5,17000,First Owner,Automatic,2021,18.15,998.0,998.0,11835.0,10.95,4,64.41176470588235
14,2019 Hyundai Grand i10 1.2 Kappa Sportz BSIV,2019,Comprehensive,Petrol,5,26867,First Owner,Manual,2019,18.9,1197.0,1197.0,8186.0,5.78,7,21.51338072728626
15,2022 Hyundai i20 Asta Opt,2022,Third Party insurance,Petrol,5,30000,First Owner,Manual,2022,21.0,1197.0,1197.0,8180.0,8.95,4,29.83333333333333
17,2018 BMW 3 Series 320d Luxury Line,2018,Comprehensive,Diesel,5,53000,First Owner,Automatic,2018,22.69,1995.0,1995.0,190.0,23.5,8,44.339622641509436
18,2019 Ford Ecosport 1.5 Petrol Titanium Plus BSIV,2019,Comprehensive,Petrol,5,40000,First Owner,Manual,2019,17.0,1497.0,1497.0,12136.0,7.95,7,19.875
